species,lon,lat
"Trypherus frisoni Fender,1960",-83.743038,42.280826
Trypherus,-87.56073,41.655097
Trypherus,-87.399697,34.321118
Trypherus,-83.095895,42.10423
Trypherus,-84.062748,40.751166
Trypherus,-86.025748,39.65215
Trypherus,-80.874265,41.708036
"Trypherus frisoni Fender,1960",-87.804645,34.625498
Trypherus,-76.776436,39.311927
"Trypherus frisoni Fender,1960",-88.391186,41.843605
Trypherus,-83.666786,41.067933
Trypherus,-89.881766,39.279871
Trypherus,-83.24388,42.217217
Trypherus,-87.224718,41.534367
Trypherus,-77.006995,38.961273
Trypherus,-82.973116,39.875645
"Trypherus frisoni Fender,1960",-81.8618,41.351595
Trypherus,-83.178241,41.101505
"Trypherus frisoni Fender,1960",-77.887445,37.666754
Trypherus,-84.5376,39.385663
Trypherus,-81.4,41.4
Trypherus,-83.624472,41.545538
"Trypherus frisoni Fender,1960",-84.870671,35.108582
Trypherus,-88.902188,41.615056
Trypherus,-84.332361,39.428441
Trypherus,-87.968334,42.176367
"Trypherus frisoni Fender,1960",-94.791602,39.160597
"Trypherus frisoni Fender,1960",-98.558047,33.847367
"Trypherus frisoni Fender,1960",-94.61182,39.057326
"Trypherus latipennis Germar,1824",-77.232397,39.815602
"Trypherus frisoni Fender,1960",-93.735778,38.7505
"Trypherus latipennis Germar,1824",-75.301571,40.079277
"Trypherus latipennis Germar,1824",-77.625037,40.795125
"Trypherus latipennis Germar,1824",-75.370458,40.625932
"Trypherus nigrinus Brancucci,1985",140.127334,35.167499
"Trypherus latipennis Germar,1824",-96.683648,42.68333
"Trypherus frisoni Fender,1960",-97.422964,37.264001
"Trypherus frisoni Fender,1960",-92.488419,39.066452
"Trypherus frisoni Fender,1960",-97.067108,35.217414
"Trypherus frisoni Fender,1960",-87.98392,41.544344
"Trypherus latipennis Germar,1824",-87.450928,41.488808
"Trypherus frisoni Fender,1960",-86.035103,39.937893
"Trypherus frisoni Fender,1960",-92.232208,38.588712
"Trypherus frisoni Fender,1960",-88.966459,40.149917
Trypherus niponicus,139.34486,35.59583
"Trypherus niponicus Lewis,1879",139.29933,35.56828
"Trypherus niponicus Lewis,1879",135.99954,34.13499
"Trypherus niponicus Lewis,1879",139.24838,35.42877
"Trypherus latipennis Germar,1824",-93.05518,34.5037
"Trypherus frisoni Fender,1960",-90.843029,41.431144
Trypherus,-83.8425,35.5931
Trypherus aboriginalis Wickham 1913,-105.289444,38.945831
"Trypherus frisoni Fender,1960",-88.18852,41.826624
"Trypherus latipennis Germar,1824",-81.765,40.1214
"Trypherus latipennis Germar,1824",-73.989308,40.741895
"Trypherus frisoni Fender,1960",-84.509498,38.0136
"Trypherus frisoni Fender,1960",-75.645759,39.723779
"Trypherus frisoni Fender,1960",-92.344009,38.954419
"Trypherus frisoni Fender,1960",-96.949775,32.59318
"Trypherus frisoni Fender,1960",-93.509457,45.020891
"Trypherus frisoni Fender,1960",-80.471169,39.100655
"Trypherus frisoni Fender,1960",-93.283002,44.883298
Trypherus,-74.474563,40.670595
"Trypherus frisoni Fender,1960",-96.795924,32.86657
"Trypherus frisoni Fender,1960",-93.265011,44.977753
Trypherus,-83.549952,40.955877
Trypherus,-87.954796,41.756428
Trypherus,-89.539136,40.705474
Trypherus,-83.088119,42.381522
"Trypherus frisoni Fender,1960",-90.368558,40.967218
Trypherus,-85.679874,38.160109
Trypherus,-84.087222,33.582222
Trypherus,-83.419412,42.436972
Trypherus,-83.194458,40.594608
Trypherus,-82.316081,40.866835
"Trypherus frisoni Fender,1960",-84.458183,39.653508
Trypherus,-83.501714,42.371286
Trypherus,-82.483803,40.381942
Trypherus,-81.31058,40.893605
"Trypherus frisoni Fender,1960",-89.716786,39.632075
"Trypherus frisoni Fender,1960",-82.935061,42.325684
Trypherus,-84.107875,39.830192
Trypherus niponicus,145.6558,43.985
"Trypherus frisoni Fender,1960",-93.917474,43.982593
"Trypherus frisoni Fender,1960",-84.490762,34.236762
Trypherus,-81.909227,41.438935
Trypherus,-87.937539,42.288009
"Trypherus frisoni Fender,1960",-82.828056,42.165279
Trypherus,-82.968872,42.477867
Trypherus,-76.884482,40.306899
"Trypherus frisoni Fender,1960",-96.041979,39.01164
"Trypherus frisoni Fender,1960",-96.651396,32.806935
"Trypherus frisoni Fender,1960",-81.748622,41.394064
"Trypherus frisoni Fender,1960",-93.174325,44.808125
Trypherus,-84.173102,39.980028
"Trypherus frisoni Fender,1960",-84.51424,34.31446
Trypherus plagiocephalus,120.794261,23.434838
Trypherus obscurimembri,102.377,37.147
Trypherus obscurimembri,106.160891,35.640957
Trypherus obscurimembri,106.348901,35.389378
Trypherus obscurimembri,106.348901,35.289378
Trypherus obscurimembri,100.341603,38.642878
